Patient,Position,Method,Accuracy
S26,p3,Kumar,0.5135135135135135
S26,p3,Kumar,0.5067567567567568
S26,p3,Kumar,0.5
S26,p3,Kumar,0.5337837837837838
S26,p3,Kumar,0.5202702702702703
S26,p3,Kumar,0.527027027027027
S26,p3,Kumar,0.5202702702702703
S26,p3,MFA,0.5838926174496645
S26,p3,MFA,0.5503355704697986
S26,p3,MFA,0.5838926174496645
S26,p3,MFA,0.5436241610738255
S26,p3,MFA,0.5570469798657718
S26,p3,MFA,0.5637583892617449
S26,p3,MFA,0.5838926174496645
S26,p3,MFA,0.5771812080536913
S26,p3,MFA,0.5503355704697986
S26,p3,MFA,0.5771812080536913
S33,p1,Kumar,0.5217391304347826
S33,p1,Kumar,0.5434782608695652
S33,p1,Kumar,0.4782608695652174
S33,p1,Kumar,0.43478260869565216
S33,p1,Kumar,0.5869565217391305
S33,p1,Kumar,0.41304347826086957
S33,p1,Kumar,0.43478260869565216
S33,p1,Kumar,0.5
S33,p1,Kumar,0.41304347826086957
S33,p1,Kumar,0.4782608695652174
S33,p1,MFA,0.43478260869565216
S33,p1,MFA,0.5
S33,p1,MFA,0.45652173913043476
S33,p1,MFA,0.45652173913043476
S33,p1,MFA,0.43478260869565216
S33,p1,MFA,0.4782608695652174
S33,p1,MFA,0.45652173913043476
S33,p1,MFA,0.5434782608695652
S33,p1,MFA,0.5217391304347826
S33,p1,MFA,0.41304347826086957
S33,p2,Kumar,0.2391304347826087
S33,p2,Kumar,0.30434782608695654
S33,p2,Kumar,0.32608695652173914
S33,p2,Kumar,0.2608695652173913
S33,p2,Kumar,0.30434782608695654
S33,p2,Kumar,0.2608695652173913
S33,p2,Kumar,0.2608695652173913
S33,p2,Kumar,0.3695652173913043
S33,p2,Kumar,0.2391304347826087
S33,p2,Kumar,0.2391304347826087
S33,p2,MFA,0.30434782608695654
S33,p2,MFA,0.2826086956521739
S33,p2,MFA,0.30434782608695654
S33,p2,MFA,0.2608695652173913
S33,p2,MFA,0.391304347826087
S33,p2,MFA,0.34782608695652173
S33,p2,MFA,0.32608695652173914
S33,p2,MFA,0.32608695652173914
S33,p2,MFA,0.30434782608695654
S33,p2,MFA,0.32608695652173914
S33,p3,Kumar,0.21739130434782608
S33,p3,Kumar,0.30434782608695654
S33,p3,Kumar,0.2826086956521739
S33,p3,Kumar,0.391304347826087
S33,p3,Kumar,0.34782608695652173
S33,p3,Kumar,0.21739130434782608
S33,p3,Kumar,0.30434782608695654
S33,p3,Kumar,0.32608695652173914
S33,p3,Kumar,0.2826086956521739
S33,p3,Kumar,0.2826086956521739
S33,p3,MFA,0.34782608695652173
S33,p3,MFA,0.2608695652173913
S33,p3,MFA,0.2391304347826087
S33,p3,MFA,0.30434782608695654
S33,p3,MFA,0.34782608695652173
S33,p3,MFA,0.2391304347826087
S33,p3,MFA,0.2826086956521739
S33,p3,MFA,0.21739130434782608
S33,p3,MFA,0.2391304347826087
S33,p3,MFA,0.2391304347826087
