Patient,Position,Method,Decoding TW,Accuracy
S22,p2,MFA,0.01S,0.20394736842105263
S22,p2,MFA,0.01S,0.19078947368421054
S22,p2,MFA,0.01S,0.19736842105263158
S22,p2,MFA,0.01S,0.16447368421052633
S22,p2,MFA,0.01S,0.17763157894736842
S22,p2,MFA,0.01S,0.19736842105263158
S22,p2,MFA,0.01S,0.23026315789473684
S22,p3,Kumar,0.025S,0.152317880794702
S22,p3,Kumar,0.025S,0.17218543046357615
S22,p3,Kumar,0.025S,0.19205298013245034
S22,p3,Kumar,0.025S,0.16556291390728478
S22,p3,Kumar,0.025S,0.17880794701986755
S22,p3,Kumar,0.025S,0.16556291390728478
S22,p3,Kumar,0.025S,0.18543046357615894
S22,p3,Kumar,0.025S,0.16556291390728478
S22,p3,Kumar,0.025S,0.16556291390728478
S22,p3,Kumar,0.025S,0.152317880794702
S22,p3,Kumar,0.015S,0.17880794701986755
S22,p3,Kumar,0.015S,0.19205298013245034
S22,p3,Kumar,0.015S,0.19205298013245034
S22,p3,Kumar,0.015S,0.17218543046357615
S22,p3,Kumar,0.015S,0.16556291390728478
S22,p3,Kumar,0.015S,0.18543046357615894
S22,p3,Kumar,0.015S,0.2052980132450331
S22,p3,Kumar,0.015S,0.152317880794702
S22,p3,Kumar,0.015S,0.16556291390728478
S22,p3,Kumar,0.015S,0.17218543046357615
S22,p3,Kumar,0.01S,0.16556291390728478
S22,p3,Kumar,0.01S,0.2052980132450331
S22,p3,Kumar,0.01S,0.17880794701986755
S22,p3,Kumar,0.01S,0.17218543046357615
S22,p3,Kumar,0.01S,0.152317880794702
S22,p3,Kumar,0.01S,0.17218543046357615
S22,p3,Kumar,0.01S,0.17218543046357615
S22,p3,Kumar,0.01S,0.152317880794702
S22,p3,Kumar,0.01S,0.17218543046357615
S22,p3,Kumar,0.01S,0.17218543046357615
S22,p3,MFA,0.025S,0.13815789473684212
S22,p3,MFA,0.025S,0.1118421052631579
S22,p3,MFA,0.025S,0.13157894736842105
S22,p3,MFA,0.025S,0.125
S22,p3,MFA,0.025S,0.10526315789473684
S22,p3,MFA,0.025S,0.125
S22,p3,MFA,0.025S,0.10526315789473684
S22,p3,MFA,0.025S,0.11842105263157894
S22,p3,MFA,0.025S,0.13157894736842105
S22,p3,MFA,0.025S,0.11842105263157894
S22,p3,MFA,0.015S,0.13815789473684212
S22,p3,MFA,0.015S,0.1118421052631579
S22,p3,MFA,0.015S,0.15789473684210525
S22,p3,MFA,0.015S,0.125
S22,p3,MFA,0.015S,0.125
S22,p3,MFA,0.015S,0.1118421052631579
S22,p3,MFA,0.015S,0.10526315789473684
S22,p3,MFA,0.015S,0.125
S22,p3,MFA,0.015S,0.11842105263157894
S22,p3,MFA,0.015S,0.11842105263157894
S22,p3,MFA,0.01S,0.09210526315789473
S22,p3,MFA,0.01S,0.11842105263157894
S22,p3,MFA,0.01S,0.11842105263157894
S22,p3,MFA,0.01S,0.13815789473684212
S22,p3,MFA,0.01S,0.09210526315789473
S22,p3,MFA,0.01S,0.14473684210526316
S22,p3,MFA,0.01S,0.13815789473684212
S22,p3,MFA,0.01S,0.10526315789473684
S22,p3,MFA,0.01S,0.125
S22,p3,MFA,0.01S,0.14473684210526316
S23,p1,Kumar,0.025S,0.2052980132450331
S23,p1,Kumar,0.025S,0.23178807947019867
S23,p1,Kumar,0.025S,0.23841059602649006
S23,p1,Kumar,0.025S,0.2251655629139073
S23,p1,Kumar,0.025S,0.25165562913907286
S23,p1,Kumar,0.025S,0.23178807947019867
S23,p1,Kumar,0.025S,0.23841059602649006
S23,p1,Kumar,0.025S,0.2052980132450331
S23,p1,Kumar,0.025S,0.23841059602649006
S23,p1,Kumar,0.025S,0.25165562913907286
S23,p1,Kumar,0.015S,0.23841059602649006
S23,p1,Kumar,0.015S,0.2582781456953642
S23,p1,Kumar,0.015S,0.2251655629139073
S23,p1,Kumar,0.015S,0.23178807947019867
S23,p1,Kumar,0.015S,0.24503311258278146
S23,p1,Kumar,0.015S,0.23178807947019867
S23,p1,Kumar,0.015S,0.2251655629139073
S23,p1,Kumar,0.015S,0.23178807947019867
S23,p1,Kumar,0.015S,0.2582781456953642
S23,p1,Kumar,0.015S,0.2119205298013245
S23,p1,Kumar,0.01S,0.23841059602649006
S23,p1,Kumar,0.01S,0.2119205298013245
S23,p1,Kumar,0.01S,0.23178807947019867
S23,p1,Kumar,0.01S,0.1986754966887417
S23,p1,Kumar,0.01S,0.2052980132450331
S23,p1,Kumar,0.01S,0.19205298013245034
S23,p1,Kumar,0.01S,0.23841059602649006
S23,p1,Kumar,0.01S,0.2185430463576159
S23,p1,Kumar,0.01S,0.2052980132450331
S23,p1,Kumar,0.01S,0.2251655629139073
S23,p1,MFA,0.025S,0.2077922077922078
S23,p1,MFA,0.025S,0.19480519480519481
S23,p1,MFA,0.025S,0.18831168831168832
S23,p1,MFA,0.025S,0.2012987012987013
S23,p1,MFA,0.025S,0.2012987012987013
S23,p1,MFA,0.025S,0.2012987012987013
S23,p1,MFA,0.025S,0.21428571428571427
S23,p1,MFA,0.025S,0.2012987012987013
S23,p1,MFA,0.025S,0.18181818181818182
S23,p1,MFA,0.025S,0.18181818181818182
S23,p1,MFA,0.015S,0.21428571428571427
S23,p1,MFA,0.015S,0.18181818181818182
S23,p1,MFA,0.015S,0.2012987012987013
S23,p1,MFA,0.015S,0.18831168831168832
S23,p1,MFA,0.015S,0.18181818181818182
S23,p1,MFA,0.015S,0.2012987012987013
S23,p1,MFA,0.015S,0.2012987012987013
S23,p1,MFA,0.015S,0.18831168831168832
S23,p1,MFA,0.015S,0.21428571428571427
S23,p1,MFA,0.015S,0.17532467532467533
S23,p1,MFA,0.01S,0.18181818181818182
S23,p1,MFA,0.01S,0.17532467532467533
S23,p1,MFA,0.01S,0.17532467532467533
S23,p1,MFA,0.01S,0.16233766233766234
S23,p1,MFA,0.01S,0.2012987012987013
S23,p1,MFA,0.01S,0.18831168831168832
S23,p1,MFA,0.01S,0.18181818181818182
S23,p1,MFA,0.01S,0.21428571428571427
S23,p1,MFA,0.01S,0.21428571428571427
S23,p1,MFA,0.01S,0.14935064935064934
S23,p2,Kumar,0.025S,0.19205298013245034
S23,p2,Kumar,0.025S,0.1986754966887417
S23,p2,Kumar,0.025S,0.2119205298013245
S23,p2,Kumar,0.025S,0.2052980132450331
S23,p2,Kumar,0.025S,0.1986754966887417
S23,p2,Kumar,0.025S,0.1986754966887417
S23,p2,Kumar,0.025S,0.19205298013245034
S23,p2,Kumar,0.025S,0.2119205298013245
S23,p2,Kumar,0.025S,0.1986754966887417
S23,p2,Kumar,0.025S,0.19205298013245034
S23,p2,Kumar,0.015S,0.2185430463576159
S23,p2,Kumar,0.015S,0.1986754966887417
S23,p2,Kumar,0.015S,0.2119205298013245
S23,p2,Kumar,0.015S,0.23841059602649006
S23,p2,Kumar,0.015S,0.1986754966887417
S23,p2,Kumar,0.015S,0.2119205298013245
S23,p2,Kumar,0.015S,0.23841059602649006
S23,p2,Kumar,0.015S,0.2251655629139073
S23,p2,Kumar,0.015S,0.2185430463576159
S23,p2,Kumar,0.015S,0.23178807947019867
S23,p2,Kumar,0.01S,0.23841059602649006
S23,p2,Kumar,0.01S,0.2251655629139073
S23,p2,Kumar,0.01S,0.2052980132450331
S23,p2,Kumar,0.01S,0.1986754966887417
S23,p2,Kumar,0.01S,0.2052980132450331
S23,p2,Kumar,0.01S,0.2052980132450331
S23,p2,Kumar,0.01S,0.23178807947019867
S23,p2,Kumar,0.01S,0.2251655629139073
S23,p2,Kumar,0.01S,0.2251655629139073
S23,p2,Kumar,0.01S,0.2185430463576159
S23,p2,MFA,0.025S,0.17532467532467533
S23,p2,MFA,0.025S,0.21428571428571427
S23,p2,MFA,0.025S,0.2012987012987013
S23,p2,MFA,0.025S,0.2012987012987013
S23,p2,MFA,0.025S,0.2012987012987013
S23,p2,MFA,0.025S,0.18181818181818182
S23,p2,MFA,0.025S,0.19480519480519481
S23,p2,MFA,0.025S,0.21428571428571427
S23,p2,MFA,0.025S,0.22727272727272727
S23,p2,MFA,0.025S,0.19480519480519481
S23,p2,MFA,0.015S,0.16883116883116883
S23,p2,MFA,0.015S,0.2077922077922078
S23,p2,MFA,0.015S,0.2012987012987013
S23,p2,MFA,0.015S,0.19480519480519481
S23,p2,MFA,0.015S,0.2012987012987013
S23,p2,MFA,0.015S,0.19480519480519481
S23,p2,MFA,0.015S,0.17532467532467533
S23,p2,MFA,0.015S,0.2012987012987013
S23,p2,MFA,0.015S,0.22077922077922077
S23,p2,MFA,0.015S,0.18831168831168832
S23,p2,MFA,0.01S,0.18831168831168832
S23,p2,MFA,0.01S,0.16883116883116883
S23,p2,MFA,0.01S,0.2077922077922078
S23,p2,MFA,0.01S,0.2012987012987013
S23,p2,MFA,0.01S,0.22727272727272727
S23,p2,MFA,0.01S,0.18831168831168832
S23,p2,MFA,0.01S,0.17532467532467533
S23,p2,MFA,0.01S,0.18831168831168832
S23,p2,MFA,0.01S,0.19480519480519481
S23,p2,MFA,0.01S,0.22077922077922077
S23,p3,Kumar,0.025S,0.09271523178807947
S23,p3,Kumar,0.025S,0.09933774834437085
S23,p3,Kumar,0.025S,0.08609271523178808
S23,p3,Kumar,0.025S,0.09933774834437085
S23,p3,Kumar,0.025S,0.11258278145695365
S23,p3,Kumar,0.025S,0.09271523178807947
S23,p3,Kumar,0.025S,0.09933774834437085
S23,p3,Kumar,0.025S,0.11258278145695365
S23,p3,Kumar,0.025S,0.11258278145695365
S23,p3,Kumar,0.025S,0.11258278145695365
S23,p3,Kumar,0.015S,0.09271523178807947
S23,p3,Kumar,0.015S,0.09933774834437085
S23,p3,Kumar,0.015S,0.07947019867549669
S23,p3,Kumar,0.015S,0.09933774834437085
S23,p3,Kumar,0.015S,0.11258278145695365
S23,p3,Kumar,0.015S,0.11920529801324503
S23,p3,Kumar,0.015S,0.0728476821192053
S23,p3,Kumar,0.015S,0.09933774834437085
S23,p3,Kumar,0.015S,0.09271523178807947
S23,p3,Kumar,0.015S,0.09271523178807947
S23,p3,Kumar,0.01S,0.10596026490066225
S23,p3,Kumar,0.01S,0.09933774834437085
S23,p3,Kumar,0.01S,0.10596026490066225
S23,p3,Kumar,0.01S,0.06622516556291391
S23,p3,Kumar,0.01S,0.09933774834437085
S23,p3,Kumar,0.01S,0.10596026490066225
S23,p3,Kumar,0.01S,0.10596026490066225
S23,p3,Kumar,0.01S,0.09933774834437085
S23,p3,Kumar,0.01S,0.09271523178807947
S23,p3,Kumar,0.01S,0.10596026490066225
S23,p3,MFA,0.025S,0.17532467532467533
S23,p3,MFA,0.025S,0.14285714285714285
S23,p3,MFA,0.025S,0.12337662337662338
S23,p3,MFA,0.025S,0.11688311688311688
S23,p3,MFA,0.025S,0.15584415584415584
S23,p3,MFA,0.025S,0.14935064935064934
S23,p3,MFA,0.025S,0.11688311688311688
S23,p3,MFA,0.025S,0.17532467532467533
S23,p3,MFA,0.025S,0.14285714285714285
S23,p3,MFA,0.025S,0.12987012987012986
S23,p3,MFA,0.015S,0.14285714285714285
S23,p3,MFA,0.015S,0.16233766233766234
S23,p3,MFA,0.015S,0.14285714285714285
S23,p3,MFA,0.015S,0.12337662337662338
S23,p3,MFA,0.015S,0.14285714285714285
S23,p3,MFA,0.015S,0.12337662337662338
S23,p3,MFA,0.015S,0.14935064935064934
S23,p3,MFA,0.015S,0.13636363636363635
S23,p3,MFA,0.015S,0.12987012987012986
S23,p3,MFA,0.015S,0.14285714285714285
S23,p3,MFA,0.01S,0.14935064935064934
S23,p3,MFA,0.01S,0.14285714285714285
S23,p3,MFA,0.01S,0.14935064935064934
S23,p3,MFA,0.01S,0.13636363636363635
S23,p3,MFA,0.01S,0.17532467532467533
S23,p3,MFA,0.01S,0.12987012987012986
S23,p3,MFA,0.01S,0.14935064935064934
S23,p3,MFA,0.01S,0.12337662337662338
S23,p3,MFA,0.01S,0.12987012987012986
S23,p3,MFA,0.01S,0.12337662337662338
S26,p1,Kumar,0.025S,0.34459459459459457
S26,p1,Kumar,0.025S,0.35135135135135137
S26,p1,Kumar,0.025S,0.31756756756756754
S26,p1,Kumar,0.025S,0.31756756756756754
S26,p1,Kumar,0.025S,0.33783783783783783
S26,p1,Kumar,0.025S,0.2972972972972973
S26,p1,Kumar,0.025S,0.31756756756756754
S26,p1,Kumar,0.025S,0.34459459459459457
S26,p1,Kumar,0.025S,0.32432432432432434
S26,p1,Kumar,0.025S,0.32432432432432434
S26,p1,Kumar,0.015S,0.31756756756756754
S26,p1,Kumar,0.015S,0.3108108108108108
S26,p1,Kumar,0.015S,0.32432432432432434
S26,p1,Kumar,0.015S,0.33783783783783783
S26,p1,Kumar,0.015S,0.34459459459459457
S26,p1,Kumar,0.015S,0.32432432432432434
S26,p1,Kumar,0.015S,0.30405405405405406
S26,p1,Kumar,0.015S,0.3108108108108108
S26,p1,Kumar,0.015S,0.32432432432432434
S26,p1,Kumar,0.015S,0.35135135135135137
S26,p1,Kumar,0.01S,0.3108108108108108
