Patient,Position,Method,Decoding TW,Accuracy
S14,p3,Kumar,1S,0.4791666666666667
S14,p3,Kumar,1S,0.4652777777777778
S14,p3,Kumar,1S,0.4583333333333333
S14,p3,Kumar,0.8S,0.4722222222222222
S14,p3,Kumar,0.8S,0.4652777777777778
S14,p3,Kumar,0.8S,0.4861111111111111
S14,p3,Kumar,0.8S,0.4722222222222222
S14,p3,Kumar,0.8S,0.4722222222222222
S14,p3,Kumar,0.8S,0.4930555555555556
S14,p3,Kumar,0.8S,0.4791666666666667
S14,p3,Kumar,0.8S,0.4652777777777778
S14,p3,Kumar,0.8S,0.5138888888888888
S14,p3,Kumar,0.8S,0.4930555555555556
S14,p3,Kumar,0.6S,0.4722222222222222
S14,p3,Kumar,0.6S,0.4652777777777778
S14,p3,Kumar,0.6S,0.4513888888888889
S14,p3,Kumar,0.6S,0.4861111111111111
S14,p3,Kumar,0.6S,0.4583333333333333
S14,p3,Kumar,0.6S,0.4513888888888889
S14,p3,Kumar,0.6S,0.4722222222222222
S14,p3,Kumar,0.6S,0.4375
S14,p3,Kumar,0.6S,0.4513888888888889
S14,p3,Kumar,0.6S,0.4791666666666667
S14,p3,Kumar,0.4S,0.3958333333333333
S14,p3,Kumar,0.4S,0.3888888888888889
S14,p3,Kumar,0.4S,0.3611111111111111
S14,p3,Kumar,0.4S,0.4305555555555556
S14,p3,Kumar,0.4S,0.3888888888888889
S14,p3,Kumar,0.4S,0.3819444444444444
S14,p3,Kumar,0.4S,0.3888888888888889
S14,p3,Kumar,0.4S,0.3888888888888889
S14,p3,Kumar,0.4S,0.3819444444444444
S14,p3,Kumar,0.4S,0.4027777777777778
S14,p3,Kumar,0.2S,0.3055555555555556
S14,p3,Kumar,0.2S,0.3194444444444444
S14,p3,Kumar,0.2S,0.2569444444444444
S14,p3,Kumar,0.2S,0.3125
S14,p3,Kumar,0.2S,0.2916666666666667
S14,p3,Kumar,0.2S,0.2847222222222222
S14,p3,Kumar,0.2S,0.2916666666666667
S14,p3,Kumar,0.2S,0.3194444444444444
S14,p3,Kumar,0.2S,0.3263888888888889
S14,p3,Kumar,0.2S,0.3125
S14,p3,MFA,1S,0.3310810810810811
S14,p3,MFA,1S,0.32432432432432434
S14,p3,MFA,1S,0.3310810810810811
S14,p3,MFA,1S,0.33783783783783783
S14,p3,MFA,1S,0.3108108108108108
S14,p3,MFA,1S,0.32432432432432434
S14,p3,MFA,1S,0.3310810810810811
S14,p3,MFA,1S,0.35135135135135137
S14,p3,MFA,1S,0.33783783783783783
S14,p3,MFA,1S,0.35135135135135137
S14,p3,MFA,0.8S,0.3108108108108108
S14,p3,MFA,0.8S,0.32432432432432434
S14,p3,MFA,0.8S,0.32432432432432434
S14,p3,MFA,0.8S,0.33783783783783783
S14,p3,MFA,0.8S,0.31756756756756754
S14,p3,MFA,0.8S,0.3310810810810811
S14,p3,MFA,0.8S,0.34459459459459457
S14,p3,MFA,0.8S,0.30405405405405406
S14,p3,MFA,0.8S,0.31756756756756754
S14,p3,MFA,0.8S,0.34459459459459457
S14,p3,MFA,0.6S,0.3716216216216216
S14,p3,MFA,0.6S,0.34459459459459457
S14,p3,MFA,0.6S,0.3783783783783784
S14,p3,MFA,0.6S,0.38513513513513514
S14,p3,MFA,0.6S,0.3783783783783784
S14,p3,MFA,0.6S,0.33783783783783783
S14,p3,MFA,0.6S,0.36486486486486486
S14,p3,MFA,0.6S,0.34459459459459457
S14,p3,MFA,0.6S,0.3783783783783784
S14,p3,MFA,0.6S,0.38513513513513514
S14,p3,MFA,0.4S,0.3310810810810811
S14,p3,MFA,0.4S,0.28378378378378377
