Patient,Method,Score_Type,Iteration,Value
S33,MFA,Silhoutte_Score_PhonGrp,41,0.36566734
S33,MFA,Silhoutte_Score_PhonGrp,42,0.3071384
S33,MFA,Silhoutte_Score_PhonGrp,43,0.2944653
S33,MFA,Silhoutte_Score_PhonGrp,44,0.37211677
S33,MFA,Silhoutte_Score_PhonGrp,45,0.36640203
S33,MFA,Silhoutte_Score_PhonGrp,46,0.25963184
S33,MFA,Silhoutte_Score_PhonGrp,47,0.28094053
S33,MFA,Silhoutte_Score_PhonGrp,48,0.345851
S33,MFA,Silhoutte_Score_PhonGrp,49,0.36624002
S33,MFA,Silhoutte_Score_PhonGrp,50,0.26161835
S33,MFA,Silhoutte_Score_PhonType,1,0.20626014
S33,MFA,Silhoutte_Score_PhonType,2,0.1995844
S33,MFA,Silhoutte_Score_PhonType,3,0.17720209
S33,MFA,Silhoutte_Score_PhonType,4,0.19288687
S33,MFA,Silhoutte_Score_PhonType,5,0.244353
S33,MFA,Silhoutte_Score_PhonType,6,0.25165743
S33,MFA,Silhoutte_Score_PhonType,7,0.19960526
S33,MFA,Silhoutte_Score_PhonType,8,0.20682348
S33,MFA,Silhoutte_Score_PhonType,9,0.19226332
S33,MFA,Silhoutte_Score_PhonType,10,0.2312646
S33,MFA,Silhoutte_Score_PhonType,11,0.19148092
S33,MFA,Silhoutte_Score_PhonType,12,0.22336423
S33,MFA,Silhoutte_Score_PhonType,13,0.20203237
S33,MFA,Silhoutte_Score_PhonType,14,0.22840647
S33,MFA,Silhoutte_Score_PhonType,15,0.19360176
S33,MFA,Silhoutte_Score_PhonType,16,0.19318068
S33,MFA,Silhoutte_Score_PhonType,17,0.19205037
S33,MFA,Silhoutte_Score_PhonType,18,0.23407531
S33,MFA,Silhoutte_Score_PhonType,19,0.19173485
S33,MFA,Silhoutte_Score_PhonType,20,0.20073523
S33,MFA,Silhoutte_Score_PhonType,21,0.23135898
S33,MFA,Silhoutte_Score_PhonType,22,0.19050135
S33,MFA,Silhoutte_Score_PhonType,23,0.2067011
S33,MFA,Silhoutte_Score_PhonType,24,0.20877884
S33,MFA,Silhoutte_Score_PhonType,25,0.2193772
S33,MFA,Silhoutte_Score_PhonType,26,0.19422348
S33,MFA,Silhoutte_Score_PhonType,27,0.18866748
S33,MFA,Silhoutte_Score_PhonType,28,0.2189046
S33,MFA,Silhoutte_Score_PhonType,29,0.23574358
S33,MFA,Silhoutte_Score_PhonType,30,0.19662069
S33,MFA,Silhoutte_Score_PhonType,31,0.19677055
S33,MFA,Silhoutte_Score_PhonType,32,0.20391919
S33,MFA,Silhoutte_Score_PhonType,33,0.20927861
S33,MFA,Silhoutte_Score_PhonType,34,0.1936758
S33,MFA,Silhoutte_Score_PhonType,35,0.2430795
S33,MFA,Silhoutte_Score_PhonType,36,0.20907299
S33,MFA,Silhoutte_Score_PhonType,37,0.20374331
S33,MFA,Silhoutte_Score_PhonType,38,0.17794569
S33,MFA,Silhoutte_Score_PhonType,39,0.20808506
S33,MFA,Silhoutte_Score_PhonType,40,0.2537764
S33,MFA,Silhoutte_Score_PhonType,41,0.19123425
S33,MFA,Silhoutte_Score_PhonType,42,0.18778858
S33,MFA,Silhoutte_Score_PhonType,43,0.20220606
S33,MFA,Silhoutte_Score_PhonType,44,0.19295377
S33,MFA,Silhoutte_Score_PhonType,45,0.1913403
S33,MFA,Silhoutte_Score_PhonType,46,0.24469902
S33,MFA,Silhoutte_Score_PhonType,47,0.18360737
S33,MFA,Silhoutte_Score_PhonType,48,0.21004862
S33,MFA,Silhoutte_Score_PhonType,49,0.1914727
S33,MFA,Silhoutte_Score_PhonType,50,0.23494114
